"location","source","target"
"242841733-0-14740","Bulky Bow",""
"242841733-0-14741","Rustic Jack",""
"242841733-0-14742","Bulky Jack",""
"242841733-0-14743","Rustic Boots",""
"242841733-0-14744","Bulky Boots",""
"242841733-0-14745","Rustic Bracers",""
"242841733-0-14746","Bulky Bracers",""
"242841733-0-14747","Rustic Helmet",""
"242841733-0-14748","Bulky Helmet",""
"242841733-0-14749","Rustic Leg Guards",""
"242841733-0-14750","Bulky Leg Guards",""
"242841733-0-14751","Rustic Shoulder Cops",""
"242841733-0-14752","Bulky Shoulder Cops",""
"242841733-0-14753","Rustic Belt",""
"242841733-0-14754","Bulky Belt",""
"242841733-0-14755","Trusty Rune",""
"242841733-0-14756","Stainless Rune",""
"242841733-0-14757","Rustic Shield",""
"242841733-0-14758","Bulky Shield",""
"242841733-0-14759","Rustic Staff",""
"242841733-0-14760","Bulky Staff",""
"242841733-0-14761","Robust Forge-Welded Axe","Robust Forge-Welded Axe"
"242841733-0-14762","Robust Folded-Metal Axe","Robust Folded-Metal Axe"
"242841733-0-14763","Stalwart Forge-Welded Mace","Stalwart Forge-Welded Mace"
"242841733-0-14764","Stalwart Folded-Metal Mace","Stalwart Folded-Metal Mace"
"242841733-0-14765","Robust Forge-Welded Sword","Robust Forge-Welded Sword"
"242841733-0-14766","Robust Folded-Metal Sword","Robust Folded-Metal Sword"
"242841733-0-14767","Astute Forge-Welded Wyrdsword","Astute Forge-Welded Wyrdsword"
"242841733-0-14768","Astute Folded-Metal Wyrdsword","Astute Folded-Metal Wyrdsword"
"242841733-0-14769","Nimble Folded-Metal Battle Axe","Nimble Folded-Metal Battle Axe"
"242841733-0-14770","Nimble High-Alloy Battle Axe","Nimble High-Alloy Battle Axe"
"242841733-0-14771","Robust Folded-Metal Warhammer","Robust Folded-Metal Warhammer"
"242841733-0-14772","Robust High-Alloy Warhammer","Robust High-Alloy Warhammer"
"242841733-0-14773","Astute Folded-Metal Runemaul","Astute Folded-Metal Runemaul"
"242841733-0-14774","Astute High-Alloy Runemaul","Astute High-Alloy Runemaul"
"242841733-0-14775","Robust Forge-Welded Greatsword","Robust Forge-Welded Greatsword"
"242841733-0-14776","Robust Folded-Metal Greatsword","Robust Folded-Metal Greatsword"
"242841733-0-14777","Nimble Forge-Welded Dagger","Nimble Forge-Welded Dagger"
"242841733-0-14778","Nimble Folded-Metal Dagger","Nimble Folded-Metal Dagger"
"242841733-0-14779","Resolute Forge-Welded Dirk","Resolute Forge-Welded Dirk"
"242841733-0-14780","Resolute Folded-Metal Dirk","Resolute Folded-Metal Dirk"
"242841733-0-14781","Stalwart Banded Cuirass","Stalwart Banded Cuirass"
"242841733-0-14782","Stalwart Plate-Mail Cuirass","Stalwart Plate-Mail Cuirass"
"242841733-0-14783","Resolute Banded Vestplate",""
"242841733-0-14784","Resolute Plate-Mail Vestplate",""
"242841733-0-14785","Stalwart Banded Sabatons","Stalwart Banded Sabatons"
"242841733-0-14786","Stalwart Plate-Mail Sabatons","Stalwart Plate-Mail Sabatons"
"242841733-0-14787","Resolute Banded Wyrdboots",""
"242841733-0-14788","Resolute Plate-Mail Wyrdboots",""
"242841733-0-14789","Stalwart Plate-Mail Gauntlets",""
"242841733-0-14790","Stalwart Half-Plate Gauntlets",""
"242841733-0-14791","Resolute Plate-Mail Witchgloves",""
"242841733-0-14792","Resolute Half-Plate Witchgloves",""
"242841733-0-14793","Stalwart Banded Helm",""
"242841733-0-14794","Stalwart Plate-Mail Helm",""
"242841733-0-14795","Resolute Banded Vizard",""
"242841733-0-14796","Resolute Plate-Mail Vizard",""
"242841733-0-14797","Stalwart Banded Greaves","Stalwart Banded Greaves"
"242841733-0-14798","Stalwart Plate-Mail Greaves","Stalwart Plate-Mail Greaves"
"242841733-0-14799","Resolute Banded Hagreaves","Resolute Banded Hagreaves"
"242841733-0-14800","Resolute Plate-Mail Hagreaves","Resolute Plate-Mail Hagreaves"
"242841733-0-14801","L20 Health + Antidote Potion","L20 Health + Antidote Potion"
"242841733-0-14802","Stalwart Plate-Mail Pauldron","Stalwart Plate-Mail Pauldron"
"242841733-0-14803","Stalwart Half-Plate Pauldron","Stalwart Half-Plate Pauldron"
"242841733-0-14804","Resolute Plate-Mail Shoulderfans","Resolute Plate-Mail Shoulderfans"
"242841733-0-14805","Resolute Half-Plate Shoulderfans","Resolute Half-Plate Shoulderfans"
"242841733-0-14806","Stalwart Plate-Mail Girdle","Stalwart Plate-Mail Girdle"
"242841733-0-14807","Stalwart Half-Plate Girdle","Stalwart Half-Plate Girdle"
"242841733-0-14808","Resolute Plate-Mail Sashgird",""
"242841733-0-14809","Resolute Half-Plate Sashgird",""
"242841733-0-14810","Resolute Half-Quilt Jerkin","Resolute Half-Quilt Jerkin"
"242841733-0-14811","Resolute Quilted Jerkin","Resolute Quilted Jerkin"
"242841733-0-14812","Resolute Half-Quilt Shoes",""
"242841733-0-14813","Resolute Quilted Shoes",""
"242841733-0-14814","Stalwart Quilted Gloves","Stalwart Quilted Gloves"
"242841733-0-14815","Stalwart Padded Gloves","Stalwart Padded Gloves"
"242841733-0-14816","Resolute Half-Quilt Hat","Resolute Half-Quilt Hat"
"242841733-0-14817","Resolute Quilted Hat","Resolute Quilted Hat"
"242841733-0-14818","Stalwart Half-Quilt Breeches","Stalwart Half-Quilt Breeches"
"242841733-0-14819","Stalwart Quilted Breeches","Stalwart Quilted Breeches"
"242841733-0-14820","Stalwart Quilted Epaulets","Stalwart Quilted Epaulets"
"242841733-0-14821","Stalwart Padded Epaulets","Stalwart Padded Epaulets"
"242841733-0-14822","Resolute Quilted Sash","Resolute Quilted Sash"
"242841733-0-14823","Resolute Padded Sash",""
"242841733-0-14824","Robust Aged Hickory Bow",""
"242841733-0-14825","Robust Osage Bow",""
"242841733-0-14826","Stalwart Scaled Jack",""
"242841733-0-14827","Stalwart Lamellar Jack",""
"242841733-0-14828","Nimble Scaled Boots",""
"242841733-0-14829","Nimble Lamellar Boots",""
"242841733-0-14830","Stalwart Lamellar Bracers",""
"242841733-0-14831","Stalwart Half-Splint Bracers",""
"242841733-0-14832","Robust Scaled Helmet",""
"242841733-0-14833","Robust Lamellar Helmet",""
"242841733-0-14834","Stalwart Scaled Leg Guards","Stalwart Scaled Leg Guards"
"242841733-0-14835","Stalwart Lamellar Leg Guards","Stalwart Lamellar Leg Guards"
"242841733-0-14836","Nimble Lamellar Shoulder Cops",""
"242841733-0-14837","Nimble Half-Splint Shoulder Cops",""
"242841733-0-14838","Stalwart Lamellar Belt","Stalwart Lamellar Belt"
"242841733-0-14839","Stalwart Half-Splint Belt","Stalwart Half-Splint Belt"
"242841733-0-14840","Astute Splendid Rune",""
"242841733-0-14841","Astute Noble Rune",""
"242841733-0-14842","Fending Cross-Laminate Shield","Fending Cross-Laminate Shield"
"242841733-0-14843","Fending Composite Shield","Fending Composite Shield"
"242841733-0-14844","Astute Hickory Staff","Astute Hickory Staff"
"242841733-0-14845","Astute Aged Hickory Staff","Astute Aged Hickory Staff"
"242841733-0-14846","Notched Axe",""
"242841733-0-14847","Pockmarked Axe",""
"242841733-0-14848","Notched Mace",""
"242841733-0-14849","Pockmarked Mace",""
"242841733-0-14850","Notched Sword",""
"242841733-0-14851","Pockmarked Sword",""
"242841733-0-14852","Notched Wyrdsword",""
"242841733-0-14853","Pockmarked Wyrdsword",""
"242841733-0-14854","Notched Battle Axe",""
"242841733-0-14855","Pockmarked Battle Axe",""
"242841733-0-14856","Notched Warhammer",""
"242841733-0-14857","Pockmarked Warhammer",""
"242841733-0-14858","Notched Runemaul",""
"242841733-0-14859","Pockmarked Runemaul",""
"242841733-0-14860","Notched Greatsword",""
"242841733-0-14861","Pockmarked Greatsword",""
"242841733-0-14862","Notched Dagger",""
"242841733-0-14863","Pockmarked Dagger",""
"242841733-0-14864","Notched Dirk",""
"242841733-0-14865","Pockmarked Dirk",""
"242841733-0-14866","Notched Cuirass",""
"242841733-0-14867","Pockmarked Cuirass",""
"242841733-0-14868","Notched Vestplate",""
"242841733-0-14869","Pockmarked Vestplate",""
"242841733-0-14870","Notched Sabatons",""
"242841733-0-14871","Pockmarked Sabatons",""
"242841733-0-14872","Notched Wyrdboots",""
"242841733-0-14873","Pockmarked Wyrdboots",""
"242841733-0-14874","Notched Gauntlets",""
"242841733-0-14875","Pockmarked Gauntlets",""
"242841733-0-14876","Notched Witchgloves",""
"242841733-0-14877","Pockmarked Witchgloves",""
"242841733-0-14878","Notched Helm",""
"242841733-0-14879","Pockmarked Helm",""
"242841733-0-14880","Notched Vizard",""
"242841733-0-14881","Pockmarked Vizard",""
"242841733-0-14882","Notched Greaves",""
"242841733-0-14883","Pockmarked Greaves",""
"242841733-0-14884","Notched Hagreaves",""
"242841733-0-14885","Pockmarked Hagreaves",""
"242841733-0-14886","Notched Pauldron",""
"242841733-0-14887","Pockmarked Pauldron",""
"242841733-0-14888","Notched Shoulderfans",""
"242841733-0-14889","Pockmarked Shoulderfans",""
"242841733-0-14890","Notched Girdle",""
"242841733-0-14891","Pockmarked Girdle",""
"242841733-0-14892","Notched Sashgird",""
"242841733-0-14893","Pockmarked Sashgird",""
"242841733-0-14894","Flimsy Jerkin",""
"242841733-0-14895","Worn Jerkin",""
"242841733-0-14896","Flimsy Shoes",""
"242841733-0-14897","Worn Shoes",""
"242841733-0-14898","Flimsy Gloves",""
"242841733-0-14899","Worn Gloves",""
"242841733-0-14900","Flimsy Hat",""
"242841733-0-14901","Worn Hat",""
"242841733-0-14902","Flimsy Breeches",""
"242841733-0-14903","Worn Breeches",""
"242841733-0-14904","Flimsy Epaulets",""
"242841733-0-14905","Worn Epaulets",""
"242841733-0-14906","Flimsy Sash",""
"242841733-0-14907","Worn Sash",""
"242841733-0-14908","Scarred Bow",""
"242841733-0-14909","Charred Bow",""
"242841733-0-14910","Scarred Jack",""
"242841733-0-14911","Charred Jack",""
"242841733-0-14912","Scarred Boots",""
"242841733-0-14913","Charred Boots",""
"242841733-0-14914","Scarred Bracers",""
"242841733-0-14915","Charred Bracers",""
"242841733-0-14916","Scarred Helmet",""
"242841733-0-14917","Charred Helmet",""
"242841733-0-14918","Scarred Leg Guards",""
"242841733-0-14919","Charred Leg Guards",""
"242841733-0-14920","Scarred Shoulder Cops",""
"242841733-0-14921","Charred Shoulder Cops",""
"242841733-0-14922","Scarred Belt",""
"242841733-0-14923","Charred Belt",""
"242841733-0-14924","Scarred Rune",""
"242841733-0-14925","Charred Rune",""
"242841733-0-14926","Scarred Shield",""
"242841733-0-14927","Charred Shield",""
"242841733-0-14928","Scarred Staff",""
"242841733-0-14929","Charred Staff",""
"242841733-0-14930","Polished Axe",""
"242841733-0-14931","Shining Axe",""
"242841733-0-14932","Polished Mace",""
"242841733-0-14933","Shining Mace",""
"242841733-0-14934","Polished Sword",""
"242841733-0-14935","Shining Sword",""
"242841733-0-14936","Polished Wyrdsword",""
"242841733-0-14937","Shining Wyrdsword",""
"242841733-0-14938","Polished Battle Axe",""
"242841733-0-14939","Shining Battle Axe",""
"242841733-0-14940","Polished Warhammer",""
"242841733-0-14941","Shining Warhammer",""
"242841733-0-14942","Polished Runemaul",""
"242841733-0-14943","Shining Runemaul",""
"242841733-0-14944","Polished Greatsword",""
"242841733-0-14945","Shining Greatsword",""
"242841733-0-14946","Polished Dagger",""
"242841733-0-14947","Shining Dagger",""
"242841733-0-14948","Polished Dirk",""
"242841733-0-14949","Shining Dirk",""
"242841733-0-14950","Polished Cuirass",""
"242841733-0-14951","Shining Cuirass",""
"242841733-0-14952","Polished Vestplate",""
"242841733-0-14953","Shining Vestplate",""
"242841733-0-14954","Polished Sabatons",""
"242841733-0-14955","Shining Sabatons",""
"242841733-0-14956","Polished Wyrdboots",""
"242841733-0-14957","Shining Wyrdboots",""
"242841733-0-14958","Polished Gauntlets",""
"242841733-0-14959","Shining Gauntlets",""
"242841733-0-14960","Polished Witchgloves",""
"242841733-0-14961","Shining Witchgloves",""
"242841733-0-14962","Polished Helm",""
"242841733-0-14963","Shining Helm",""
"242841733-0-14964","Polished Vizard",""
"242841733-0-14965","Shining Vizard",""
"242841733-0-14966","Polished Greaves",""
"242841733-0-14967","Shining Greaves",""
"242841733-0-14968","Polished Hagreaves",""
"242841733-0-14969","Shining Hagreaves",""
"242841733-0-14970","Polished Pauldron",""
"242841733-0-14971","Shining Pauldron",""
"242841733-0-14972","Polished Shoulderfans",""
"242841733-0-14973","Shining Shoulderfans",""
"242841733-0-14974","Polished Girdle",""
"242841733-0-14975","Shining Girdle",""
"242841733-0-14976","Polished Sashgird",""
"242841733-0-14977","Shining Sashgird",""
"242841733-0-14978","Comely Jerkin",""
"242841733-0-14979","Tasteful Jerkin",""
"242841733-0-14980","Comely Shoes",""
"242841733-0-14981","Tasteful Shoes",""
"242841733-0-14982","Comely Gloves",""
"242841733-0-14983","Tasteful Gloves",""
"242841733-0-14984","Comely Hat",""
"242841733-0-14985","Tasteful Hat",""
"242841733-0-14986","Comely Breeches",""
"242841733-0-14987","Tasteful Breeches",""
"242841733-0-14988","Comely Epaulets",""
"242841733-0-14989","Tasteful Epaulets",""
"242841733-0-14990","Comely Sash",""
"242841733-0-14991","Tasteful Sash",""
"242841733-0-14992","Rugged Bow",""
"242841733-0-14993","Sturdy Bow",""
"242841733-0-14994","Rugged Jack",""
"242841733-0-14995","Sturdy Jack",""
"242841733-0-14996","Rugged Boots",""
"242841733-0-14997","Sturdy Boots",""
"242841733-0-14998","Rugged Bracers",""
"242841733-0-14999","Sturdy Bracers",""
"242841733-0-15000","Rugged Helmet",""
"242841733-0-15001","Sturdy Helmet",""
"242841733-0-15002","Rugged Leg Guards",""
"242841733-0-15003","Sturdy Leg Guards",""
"242841733-0-15004","Rugged Shoulder Cops",""
"242841733-0-15005","Sturdy Shoulder Cops",""
"242841733-0-15006","Rugged Belt",""
"242841733-0-15007","Sturdy Belt",""
"242841733-0-15008","Polished Rune",""
"242841733-0-15009","Shining Rune",""
"242841733-0-15010","Rugged Shield",""
"242841733-0-15011","Sturdy Shield",""
"242841733-0-15012","Rugged Staff",""
"242841733-0-15013","Sturdy Staff",""
"242841733-0-15014","Fortunate Handsome Axe",""
"242841733-0-15015","Fortunate Ornate Axe",""
"242841733-0-15016","Stalwart Handsome Mace",""
"242841733-0-15017","Stalwart Ornate Mace",""
"242841733-0-15018","Stalwart Handsome Sword",""
"242841733-0-15019","Stalwart Ornate Sword",""
"242841733-0-15020","Fortunate Handsome Wyrdsword",""
"242841733-0-15021","Fortunate Ornate Wyrdsword",""
"242841733-0-15022","Fortunate Ornate Battle Axe",""
"242841733-0-15023","Fortunate Elegant Battle Axe",""
"242841733-0-15024","Stalwart Ornate Warhammer",""
"242841733-0-15025","Stalwart Elegant Warhammer",""
"242841733-0-15026","Fortunate Ornate Runemaul",""
"242841733-0-15027","Fortunate Elegant Runemaul",""
"242841733-0-15028","Warding Handsome Greatsword",""
"242841733-0-15029","Warding Ornate Greatsword",""
"242841733-0-15030","Fortunate Handsome Dagger",""
"242841733-0-15031","Fortunate Ornate Dagger",""
"242841733-0-15032","Fortunate Handsome Dirk",""
"242841733-0-15033","Fortunate Ornate Dirk",""
"242841733-0-15034","Robust Triple-Chain Cuirass",""
"242841733-0-15035","Robust Rivet-Mail Cuirass",""
"242841733-0-15036","Resolute Triple-Chain Vestplate",""
"242841733-0-15037","Resolute Rivet-Mail Vestplate",""
"242841733-0-15038","Nimble Triple-Chain Sabatons",""
"242841733-0-15039","Nimble Rivet-Mail Sabatons",""
"242841733-0-15040","Astute Triple-Chain Wyrdboots",""
"242841733-0-15041","Astute Rivet-Mail Wyrdboots",""
"242841733-0-15042","Robust Rivet-Mail Gauntlets",""
"242841733-0-15043","Robust Banded Gauntlets",""
"242841733-0-15044","Resolute Rivet-Mail Witchgloves",""
"242841733-0-15045","Resolute Banded Witchgloves",""
"242841733-0-15046","Robust Triple-Chain Helm",""
"242841733-0-15047","Robust Rivet-Mail Helm",""
"242841733-0-15048","Resolute Triple-Chain Vizard",""
"242841733-0-15049","Resolute Rivet-Mail Vizard",""
"242841733-0-15050","Nimble Triple-Chain Greaves",""
"242841733-0-15051","Nimble Rivet-Mail Greaves",""
"242841733-0-15052","Astute Triple-Chain Hagreaves",""
"242841733-0-15053","Astute Rivet-Mail Hagreaves",""
"242841733-0-15054","Nimble Rivet-Mail Pauldron",""
"242841733-0-15055","Nimble Banded Pauldron",""
"242841733-0-15056","Astute Rivet-Mail Shoulderfans",""
"242841733-0-15057","Astute Banded Shoulderfans",""
"242841733-0-15058","Robust Rivet-Mail Girdle",""
"242841733-0-15059","Robust Banded Girdle",""
"242841733-0-15060","Resolute Rivet-Mail Sashgird",""
"242841733-0-15061","Resolute Banded Sashgird",""
"242841733-0-15062","Astute Corded Jerkin",""
"242841733-0-15063","Astute Doubled Jerkin",""
"242841733-0-15064","Resolute Corded Shoes",""
"242841733-0-15065","Resolute Doubled Shoes",""
"242841733-0-15066","Astute Doubled Gloves",""
"242841733-0-15067","Astute Half-Quilt Gloves",""
"242841733-0-15068","Astute Corded Hat",""
"242841733-0-15069","Astute Doubled Hat",""
"242841733-0-15070","Resolute Corded Breeches",""
"242841733-0-15071","Resolute Doubled Breeches",""
"242841733-0-15072","Resolute Doubled Epaulets",""
"242841733-0-15073","Resolute Half-Quilt Epaulets",""
"242841733-0-15074","Astute Doubled Sash",""
"242841733-0-15075","Astute Half-Quilt Sash",""
"242841733-0-15076","Fortunate Ornate Bow",""
"242841733-0-15077","Fortunate Elegant Bow",""
"242841733-0-15078","Robust Brigandine Jack",""
"242841733-0-15079","Robust Studded Jack",""
"242841733-0-15080","Nimble Brigandine Boots",""
"242841733-0-15081","Nimble Studded Boots",""
"242841733-0-15082","Robust Studded Bracers",""
"242841733-0-15083","Robust Scaled Bracers",""
"242841733-0-15084","Robust Brigandine Helmet",""
"242841733-0-15085","Robust Studded Helmet",""
"242841733-0-15086","Nimble Brigandine Leg Guards",""
"242841733-0-15087","Nimble Studded Leg Guards",""
"242841733-0-15088","Nimble Studded Shoulder Cops",""
"242841733-0-15089","Nimble Scaled Shoulder Cops",""
"242841733-0-15090","Robust Studded Belt",""
"242841733-0-15091","Robust Scaled Belt",""
"242841733-0-15092","Astute Ornate Rune",""
"242841733-0-15093","Astute Elegant Rune",""
"242841733-0-15094","Nimble Triple-Chain Shield",""
"242841733-0-15095","Nimble Rivet-Mail Shield",""
"242841733-0-15096","Fortunate Handsome Staff",""
"242841733-0-15097","Fortunate Ornate Staff",""
"242841733-0-15098","Trusty Axe","Trusty Axe"
"242841733-0-15099","Stainless Axe","Stainless Axe"
"242841733-0-15100","Trusty Mace","Trusty Mace"
"242841733-0-15101","Stainless Mace","Stainless Mace"
"242841733-0-15102","Trusty Sword","Trusty Sword"
"242841733-0-15103","Stainless Sword","Stainless Sword"
"242841733-0-15104","Trusty Wyrdsword","Trusty Wyrdsword"
"242841733-0-15105","Stainless Wyrdsword","Stainless Wyrdsword"
"242841733-0-15106","Trusty Battle Axe","Trusty Battle Axe"
"242841733-0-15107","Stainless Battle Axe","Stainless Battle Axe"
"242841733-0-15108","Trusty Warhammer","Trusty Warhammer"
"242841733-0-15109","Stainless Warhammer","Stainless Warhammer"
"242841733-0-15110","Trusty Runemaul","Trusty Runemaul"
"242841733-0-15111","Stainless Runemaul","Stainless Runemaul"
"242841733-0-15112","Trusty Greatsword","Trusty Greatsword"
"242841733-0-15113","Stainless Greatsword","Stainless Greatsword"
"242841733-0-15114","Trusty Dagger","Trusty Dagger"
"242841733-0-15115","Stainless Dagger","Stainless Dagger"
"242841733-0-15116","Trusty Dirk","Trusty Dirk"
"242841733-0-15117","Stainless Dirk","Stainless Dirk"
"242841733-0-15118","Trusty Cuirass","Trusty Cuirass"
"242841733-0-15119","Stainless Cuirass","Stainless Cuirass"
"242841733-0-15120","Trusty Vestplate","Trusty Vestplate"
"242841733-0-15121","Stainless Vestplate","Stainless Vestplate"
"242841733-0-15122","Trusty Sabatons","Trusty Sabatons"
"242841733-0-15123","Stainless Sabatons","Stainless Sabatons"
"242841733-0-15124","Trusty Wyrdboots","Trusty Wyrdboots"
"242841733-0-15125","Stainless Wyrdboots","Stainless Wyrdboots"
"242841733-0-15126","Trusty Gauntlets",""
"242841733-0-15127","Stainless Gauntlets","Stainless Gauntlets"
"242841733-0-15128","Trusty Witchgloves","Trusty Witchgloves"
"242841733-0-15129","Stainless Witchgloves","Stainless Witchgloves"
"242841733-0-15130","Trusty Helm","Trusty Helm"
"242841733-0-15131","Stainless Helm","Stainless Helm"
"242841733-0-15132","Trusty Vizard","Trusty Vizard"
"242841733-0-15133","Stainless Vizard","Stainless Vizard"
"242841733-0-15134","Trusty Greaves","Trusty Greaves"
"242841733-0-15135","Stainless Greaves","Stainless Greaves"
"242841733-0-15136","Trusty Hagreaves",""
"242841733-0-15137","Stainless Hagreaves",""
"242841733-0-15138","Trusty Pauldron",""
"242841733-0-15139","Stainless Pauldron",""
"242841733-0-15140","Trusty Shoulderfans",""
"242841733-0-15141","Stainless Shoulderfans",""
"242841733-0-15142","Trusty Girdle",""
"242841733-0-15143","Stainless Girdle",""
"242841733-0-15144","Trusty Sashgird",""
"242841733-0-15145","Stainless Sashgird","Stainless Sashgird"
"242841733-0-15146","Homespun Jerkin","Homespun Jerkin"
"242841733-0-15147","Common Jerkin","Common Jerkin"
"242841733-0-15148","Homespun Shoes","Homespun Shoes"
"242841733-0-15149","Common Shoes","Common Shoes"
"242841733-0-15150","Homespun Gloves","Homespun Gloves"
"242841733-0-15151","Common Gloves","Common Gloves"
"242841733-0-15152","Homespun Hat",""
"242841733-0-15153","Common Hat","Common Hat"
"242841733-0-15154","Homespun Breeches","Homespun Breeches"
"242841733-0-15155","Common Breeches","Common Breeches"
"242841733-0-15156","Homespun Epaulets","Homespun Epaulets"
"242841733-0-15157","Common Epaulets","Common Epaulets"
"242841733-0-15158","Homespun Sash",""
"242841733-0-15159","Common Sash","Common Sash"
"242841733-0-15160","Rustic Bow","Rustic Bow"
"242841733-0-15161","Bulky Bow","Bulky Bow"
"242841733-0-15162","Rustic Jack","Rustic Jack"
"242841733-0-15163","Bulky Jack","Bulky Jack"
"242841733-0-15164","Rustic Boots","Rustic Boots"
"242841733-0-15165","Bulky Boots","Bulky Boots"
"242841733-0-15166","Rustic Bracers","Rustic Bracers"
"242841733-0-15167","Bulky Bracers","Bulky Bracers"
"242841733-0-15168","Rustic Helmet","Rustic Helmet"
"242841733-0-15169","Bulky Helmet","Bulky Helmet"
"242841733-0-15170","Rustic Leg Guards","Rustic Leg Guards"
"242841733-0-15171","Bulky Leg Guards","Bulky Leg Guards"
"242841733-0-15172","Rustic Shoulder Cops",""
"242841733-0-15173","Bulky Shoulder Cops",""
"242841733-0-15174","Rustic Belt",""
"242841733-0-15175","Bulky Belt",""
"242841733-0-15176","Trusty Rune",""
"242841733-0-15177","Stainless Rune",""
"242841733-0-15178","Rustic Shield",""
"242841733-0-15179","Bulky Shield",""
"242841733-0-15180","Rustic Staff",""
"242841733-0-15181","Bulky Staff","Bulky Staff"
"242841733-0-15182","Dented Axe",""
"242841733-0-15183","Crooked Axe",""
"242841733-0-15184","Dented Mace",""
"242841733-0-15185","Crooked Mace",""
"242841733-0-15186","Dented Sword",""
"242841733-0-15187","Crooked Sword",""
"242841733-0-15188","Dented Wyrdsword",""
"242841733-0-15189","Crooked Wyrdsword",""
"242841733-0-15190","Dented Battle Axe",""
"242841733-0-15191","Crooked Battle Axe",""
"242841733-0-15192","Dented Warhammer",""
"242841733-0-15193","Crooked Warhammer",""
"242841733-0-15194","Dented Runemaul",""
"242841733-0-15195","Crooked Runemaul",""
"242841733-0-15196","Dented Greatsword",""
"242841733-0-15197","Crooked Greatsword",""
"242841733-0-15198","Dented Dagger",""
"242841733-0-15199","Crooked Dagger",""
"242841733-0-15200","Dented Dagger",""
"242841733-0-15201","Crooked Dagger",""
"242841733-0-15202","Dented Dirk",""
"242841733-0-15203","Crooked Dirk",""
"242841733-0-15204","Dented Cuirass",""
"242841733-0-15205","Crooked Cuirass",""
"242841733-0-15206","Dented Vestplate",""
"242841733-0-15207","Crooked Vestplate",""
"242841733-0-15208","Dented Sabatons",""
