"location","source","target"
"103224356-0-37121","Murukh asked me to find the hunters, Avreg and Zhasim. They followed the Riekrs toward the cave in the cliffside.","Murukh mi ha chiesto di trovare i cacciatori, Avreg e Zhasim. Hanno seguito i Riekr verso la caverna nel fianco della scogliera."
"103224356-0-37127","Zhasim won't leave until he finds his cat, so I should continue to look for the other hunters.","Zhasim non se ne andrà finché non trova il suo gatto, quindi dovrei proseguire a cercare gli altri cacciatori."
"103224356-0-37128","The totem is beside the Riekr chief's throne. I should grab the totem so I can give it to Orgotha.","Il totem è vicino al trono del capo Riekr. Dovrei raccogliere il totem per poterlo dare a Orgotha."
"103224356-0-37129","Now that I have the Riekr chief's totem, I should find Zubesha and set her free.","Ora che ho il totem del capo dei Riekr, dovrei cercare Zubesha e liberarla."
"103224356-0-37130","I found the missing hunters and collected the Riekr chief's totem. Now I should return to the Orc camp and give the totem to Orgotha.","Ho trovato i cacciatori mancanti e preso il totem del capo dei Riekr. Ora dovrei tornare al campo degli Orchi e dare il totem ad Orgotha."
"103224356-0-37131","I told High Priestess Solgra about the traitor and the location of the stolen supplies. Now I need to see if she can direct me to Forge-Mother Alga.","Ho detto all'Alta Sacerdotessa Solgra del traditore e il luogo dei rifornimenti rubati. Ora devo vedere se mi può indirizzare dalla Madre-di-Forgia Alga."
"103224356-0-37134","The Orcs in the cave were frozen by the warlord Ice-Heart. Chief Bazrag is attempting to recover the stolen supplies, though. I should look around and try to help him pick up the trail.","Gli Orchi nella caverna erano congelati dal signore della guerra Cuore-di-Ghiaccio. Capo Bazrag, tuttavia, sta tentando di recuperare i rifornimenti rubati. Dovrei guardare in giro e provare ad aiutarlo a trovare una pista."
"103224356-0-37135","I found a note addressed to Warlord Ice-Heart. I should read it and see what information it contains.","Ho trovato una lettera indirizzata al Signore della Guerra Cuore-di-Ghiaccio. Dovrei leggerla e scoprire che informazioni contiene."
"103224356-0-37180","Offering the blood of the archivists appears to have activated some ancient mechanism. I need to find the passage that leads to the hidden sanctuary.","Sembra che offrire il sangue degli archivisti abbia attivato un qualche antico meccanismo. Devo trovare il passaggio che conduce al santuario nascosto."
"103224356-0-37250","The clan chiefs have all agreed to attend the Great Moot. I should report back to King Kurog at his cornerclub in Orsinium and give him the news.","I capi dei clan hanno accettato tutti di venire al Gran Consiglio. Dovrei tornare a rapporto da Re Kurog alla sua taverna in Orsinium e dargli la notizia."
"103224356-0-37254","Eveli said the High Priestess wants to talk to me. I should go to the Temple of Ire in Orsinium and find out what this is all about.","Eveli ha detto che l'Alta Sacerdotessa vuole parlarmi. Dovrei andare al Tempio dell'Ira in Orsinium e scoprire di che si tratta."
"103224356-0-37255","High Priestess Solgra received news that one of the clan chiefs was taken captive by Trinimac extremists known as the Vosh Rakh. She asked me to go to Fharun Stronghold, meet up with Eveli, and find a way to rescue the chief.","L'Alta Sacerdotessa Solgra ha ricevuto notizie che uno dei capi dei clan è stato catturato da estremisti del Trinimac noti come Vosh Rakh. Mi ha chiesto di andare a Roccaforte Fharun, incontrare Eveli e trovare un modo di salvare il capo."
"103224356-0-37276","I agreed to aid Razasha and rescue Shaldagan and the other Orcs that were taken captive by the Vosh Rakh. I should enter the nearby ruins and look for the kidnapped travelers.","Ho accettato di aiutare Razasha e salvare Shaldagan e gli altri Orchi presi prigionieri dal Vosh Rakh. Dovrei entrare nelle vicine rovine e cercare i viaggiatori rapiti."
"103224356-0-37294","I need to escort Chief Bazrag safely out of the prison and back to High Priestess Solgra. Then maybe we can figure out what's really going on here.","Devo scortare il Capo Bazrag al sicuro fuori dalla prigione e tornare dall'Alta Sacerdotessa Solgra. Poi forse riusciremo a capire cosa sta succedendo davvero qui."
"103224356-0-37355","<<1>> asked me to find evidence of this Daedric connection. She suggested searching <<2>>'s tent, as well as the giant camp where <<3>> was struck. I should also ask <<4>> if he noticed anything suspicious the night before the chief was wounded.","<<1>> mi ha chiesto di raccogliere prove di questa connessione Daedrica. Ha suggerito di cercare nella tenda di <<2>>, ed anche nel campo dei giganti dove <<3>> è stato colpito. Dovrei anche chiedere a <<4>> se ha notato nulla di sospetto la notte prima che il capo fosse ferito."
"103224356-0-37380","I eliminated the Proselytizer and her lieutenants. Now I need to find the back way out of here so that I can lead the freed captives to safety.","Ho eliminato la Proselitante ed i suoi luogotenenti. Ora devo trovare una via per uscire da qui in modo da condurre i prigionieri liberati al sicuro."
"103224356-0-37413","I should decide what to do with this hideous mug. I could speak with <<1>> about what I dug up. However, <<2>>'s journal mentioned a buyer. If I wanted, I could sell the mug to <<3>>.","Dovrei decidere cosa fare con questo orribile boccale. Potrei parlare con <<1>> su cosa ho rinvenuto. Tuttavia, il diario di <<2>> parlava di un acquirente. Se volessi, potrei vendere il boccale a <<3>>."
"103224356-0-37424","I entered the secret area and heard Eveli, Solgra, and Bazrag talking in the room above. I should go up there and talk to High Priestess Solgra.","Sono entrat<<player{o/a}>> nella zona segreta e ho sentito Eveli, Solgra e Bazrag parlare nella stanza sopra. Dovrei salire lì e parlare all'Alta Sacerdotessa Solgra."
"103224356-0-37436","<<1>> asked me to bring her <<mz:2>>, some <<z:3>>, and <<z:4>>.","<<1>> mi ha chiesto di portarle <<mz:2>>, del <<z:3>> e <<z:4>>."
"103224356-0-37484","I learned the Vosh Rakh's plan to eliminate the chiefs at the moot and blame High Priestess Solgra from Forge-Mother Alga. I should rendezvous with Eveli and Flies-in-Wind to let them know.","Ho saputo dalla Madre-di-Forgia Alga del piano del Vosh Rakh di eliminare i capi al consiglio e di incolpare l'Alta Sacerdotessa Solgra. Dovrei incontrarmi con Eveli e Vola-nel-Vento per fargli sapere."
"103224356-0-37514","I dealt with some Vosh Rakh fanatics disguised as Orsimer soldiers and recovered the key to the Greedy Gut inn. Now I should enter the inn and find Chief Bazrag and Eveli.","Mi sono occupat<<player{o/a}>> di alcuni fanatici del Vosh Rakh travestiti da soldati Orsimer e ho recuperato la chiave della locanda Budello Avido. Ora dovrei entrare nella locanda e trovare il Capo Bazrag ed Eveli."
"103224356-0-37516","I found Chief Bazrag and Eveli inside the inn. I should talk to the chief and compare notes.","Ho trovato Capo Bazrag ed Eveli dentro alla locanda. Dovrei parlare con il capo e paragonare le note."
"103224356-0-37522","King Kurog didn't want to talk in front of the clan chiefs. He asked me to meet him in the dining hall on the lower level of the keep to continue our conversation.","Re Kurog non ha voluto parlare davanti ai capi dei clan. Mi ha chiesto di incontrarlo nella sala da pranzo al livello inferiore del forte per proseguire la nostra conversazione."
"103224356-0-37527","I recovered the key to the Greedy Gut inn. Now I should enter the inn and find Chief Bazrag and Eveli.","Ho recuperato la chiave della locanda Budello Avido. Ora dovrei entrare nella locanda e trovare il Capo Bazrag ed Eveli."
"103224356-0-37559","The tomb is supposed to be somewhere inside Coldwind's ancient den. It may be protected from intruders.","La tomba si suppone sia da qualche parte dentro l'antica tana di Ventofreddo. Potrebbe essere protetta contro gli intrusi."
"103224356-0-37561","King Torug's shade wants me to learn about Wrothgar's past by placing ceremonial objects in the offering bowls situated around this room.","L'ombra di Re Torug vuole che impari il passato di Wrothgar ponendo gli oggetti cerimoniali nelle ciotole delle offerte in giro per questa stanza."
"103224356-0-37562","I witnessed a reenactment of Torug uniting with Coldwind. I can take the snow bear's skull now.","Ho assistito alla rievocazione di Torug che si riuniva a Ventofreddo. Posso prendere il teschio dell'orso polare ora."
"103224356-0-37564","I need to get to the moot before Kurog and Alga eliminate the chiefs. There's a path in the throne room. I just need to get past the Vosh Rakh soldiers to utilize it.","Devo arrivare al consiglio prima che Kurog e Alga eliminino i capi. C'è un passaggio nella sala del trono. Devo solo oltrepassare i soldati del Vosh Rakh per usarlo."
"103224356-0-37565","Chief Bazrag and Eveli are being held in the cells beneath the keep. I need to find them and set them free before I try to get to the moot.","Capo Bazrag ed Eveli sono trattenuti nelle celle sotto al forte. Devo trovarli e liberarli prima di provare a raggiungere il consiglio."
"103224356-0-37568","I defeated the shield-wives and found a note from Kurog. I should read the note.","Ho sconfitto le mogli-di-scudo e trovato una nota di Kurog. Dovrei leggerla."
"103224356-0-37569","All of the paths to the moot have been sealed, except for the one through the temple. I need to find Chief Bazrag and let him know.","Tutte le altre strade verso il concilio sono state sigillate, eccetto una attraverso il tempio. Devo trovare il Capo Bazrag e farglielo sapere."
"103224356-0-37570","There's a way to the moot through the temple. I should talk to Chief Bazrag and figure out our next move.","C'è una strada per il consiglio attraverso il tempio. Dovrei parlare a Capo Bazrag e pensare alla nostra prossima mossa."
"103224356-0-37605","Lord Ethian was wounded trying to confront Captain Henrisa. I should follow the captain into the smuggler's cave and avenge Lord Ethian. If Lady Sovelle is inside, perhaps I can help her as well.","Lord Ethian è stato ferito provando ad affrontare il Capitano Henrisa. Dovrei seguire il capitano nella grotta dei contrabbandieri e vendicare Lord Ethian. Se Lady Sovelle è dentro, forse posso pure aiutare lei."
"103224356-0-37637","<<1>> believes they found the tomb of <<2>>, a great Redguard hero who also died at the siege of Old Orsinium. She thinks the key to opening the tomb can be found in the nearby catacombs. I should search for the entrance to the catacombs.","<<1>> crede che abbiano trovato la tomba di <<2>>, un grande eroe Redguard morto nell'assedio di Orsinium Vecchia. Pensa che la chiave per aprire la tomba possa essere trovata nelle catacombe vicine. Dovrei cercare l'entrata per le catacombe."
"103224356-0-37638","<<1>> thinks the key to opening the tomb can be found in the nearby catacombs. I should examine the monument stone near the catacomb entrance.","<<1>> pensa che la chiave per aprire la tomba possa essere trovata nelle catacombe vicine. Dovrei esaminare la pietra monumentale vicino all'ingresso della catacomba."
"103224356-0-37653","The relic belongs with the Malacath faithful. I should speak with <<1>> about my reward.","La reliquia appartiene ai fedeli di Malacath. Dovrei parlare con <<1>> della mia ricompensa."
"103224356-0-37656","I must decide what to do with the <<1>>. I could return it to the Malacath faithful in Orsinium, rededicate it at the statue of Malacath, or destroy it for good in the forges behind the statue.","Devo decidere che cosa fare con <<1>>. Potrei riportarla ai fedeli di Malacath in Orsinium, riconsacrarla alla statua di Malacath o distruggerla per il bene di tutti nelle forge dietro la statua."
"103224356-0-37657","The relic must be rededicated. I should pray in the shadow of Malacath's statue.","La reliquia dev'essere riconsacrata. Devo pregare nell'ombra della statua di Malacath."
"103224356-0-37697","<<1>> believes the <<2>> is in the recently uncovered catacombs of Honor's Rest. I should head there and search for the relic.","<<1>> crede che la <<2>> sia nelle catacombe recentemente scoperte di Riposo dell'Onore. Dovrei andare lì e cercare la reliquia."
"103224356-0-37698","When I entered the catacombs near Honor's Rest, one of the Winterborn approached me. He wants to speak, and apparently doesn't want his fellow tribesman to hear. I should see what he has to say.","Quando sono entrat<<player{o/a}>> nelle catacombe vicino a Riposo dell'Onore, uno dei Nati d'Inverno mi ha avvicinat<<player{o/a}>>.  Vuole parlarmi e sembra non voglia farsi sentire dai suoi compagni di tribù. Dovrei vedere che cos'ha da dire."
"103224356-0-37756","<<1>> wants me to recover the <<2>> so this tribe will no longer be a pawn to the whims of Malacath. He suggested I search the Honor's Rest catacombs, near the grave goods.","<<1>> vuole che io recuperi la <<2>> in modo che la sua tribù non sia più una pedina dei capricci di Malacath. Mi ha suggerito di cercare nelle catacombe di Riposo dell'Onore, vicino ai corredi funebri."
"103224356-0-37757","I found the <<1>> near some grave goods. I should retrieve it before the Winterborn can.","Ho trovato la <<1>> vicino ad alcuni corredi funebri. Dovrei prenderla prima che lo facciano i Nati d'Inverno."
"103224356-0-37758","Now that I have the <<1>>, I should return to <<2>> and see what can be done with it.","Ora ho la <<1>>, dovrei tornare a <<2>> e vedere cosa ci si può fare con questa."
"103224356-0-37765","I destroyed the relic. <<1>> seems incredibly relieved. I should speak with him.","Ho distrutto la reliquia. <<1>> sembra incredibilmente sollevato. Dovrei parlare con lui."
"103224356-0-37766","<<1>> doesn't want his tribe to recover the relic. I should talk to him and find out why.","<<1>> non vuole che la sua tribù recuperi la reliquia. Dovrei parlargli e scoprire perché."
"103224356-0-37876","I should take the permit and try to return it to the merchants. Perhaps I can meet them on the road to Orsinium.","Dovrei prendere il permesso e provare a tornare dai mercanti. Forse li posso trovare sulla strada per Orsinium."
"103224356-0-37897","<<1>> wants me to unearth the skull of the ancient snow bear, Coldwind. If I want to recover Coldwind's Skull, I need to head to northern Wrothgar and locate the snow bear's den.","<<1>> vuole che disotterri il teschio dell'antico orso polare, Ventofreddo. Se voglio recuperare il Teschio di Ventofreddo, devo dirigermi a Wrothgar settentrionale e trovare la tana dell'orso polare."
"103224356-0-38051","There's certainly an odd smell in the air. I should follow the scent and see if it leads me to Gulug.","C'è chiaramente un odore strano nell'aria. Dovrei seguire il profumo e vedere se mi conduce da Gulug."
"103224356-0-38052","It seems that a trader who's friendly with a group of Khajiit has recently come into possession of a good deal of gold. He wears a very distinctive fragrance that should help me find him.","Sembra che un mercante amico di un gruppo di Khajiit sia recentemente entrato in possesso di una gran somma di oro. Porta una fragranza molto particolare che dovrebbe aiutarmi a trovarlo."
"103224356-0-38078","In the brief time <<1>> traveled with <<2>>, she noticed he was obsessive about keeping a journal. She believes the journal will help prove her innocence.","Nel breve tempo in cui <<1>> ha viaggiato con <<2>>, ha notato che lui era ossessivo nel tenere il diario. Lei crede che il diario proverà la sua innocenza."
"103224356-0-38079","I told High Priestess Solgra where to find the stolen supplies, but I left out Gulug's name as the traitor. Now I need to see if she can direct me to Forge-Mother Alga.","Ho detto all'Alta Sacerdotessa Solgra dove trovare i rifornimenti rubati, ma non ho nominato Gulug come traditore. Ora devo vedere se lei mi può indirizzare dalla Madre-di-Forgia Alga."
"103224356-0-38096","<<1>> sent me to meet <<2>>, one of Shatul's warriors. I should find him near Shatul.","<<1>> mi ha mandato ad incontrare <<2>>, uno dei guerrieri di Shatul. Dovrei trovarlo vicino a Shatul."
"103224356-0-38097","<<1>> needs some help wrangling <<2>>, one of Shatul's prized echatere. Once I wake it, I need to work with <<1>> to guide <<2>> as it hunts for a <<z:3>>.","<<1>> ha bisogno di aiuto per disputarsi <<2>>, uno dei preziosi echatere  di Shatul. Una volta che lo sveglio, devo lavorare con <<1>> per condurre <<2>> mentre caccia un <<z:3>>."
"103224356-0-38200","With the <<z:1>> in hand, <<2>> and I should return to Shatul.","Con il <<z:1>> in mano, <<2>> ed io dovremmo tornare a Shatul."
"103224356-0-38213","I was drawn into another memory of past events, during the fall of Old Orsinium. I walk in the boots of <<1>>, a Knight of the Dragon. Her commander, <<2>>, vowed to honor the dead. I should find a way to awaken from this memory.","Sono stat<<player{o/a}>> trascinat<<player{o/a}>> in un'altra memoria di eventi passati, durante la caduta di Orsinium Vecchia. Vesto i panni di <<1>>, un Cavaliere del Dragone. La sua comandante, <<2>>, ha fatto voto di onorare i morti. Devo trovare un modo per destarmi da questa memoria."
"103224356-0-38215","<<1>> asked me to bring the <<z:2>> to <<3>>.","<<1>> mi ha chiesto di portare <<z:2>> a <<3>>."
"103224356-0-38250","I should look for a researcher who's interested in ancient Nord relics and see if they want the relic I found.","Dovrei trovare un ricercatore interessato ad antichi artefatti Nord e vedere se gli interessa la reliquia che ho trovato."
"103224356-0-38269","Owayine said that soldiers took Eveli and Chief Bazrag on the king's orders. I should go talk to King Kurog at the keep and find out where they are holding my friends.","Owayine ha detto che i soldati hanno preso Eveli e Capo Bazrag per ordine del re. Dovrei andare a parlare a Re Kurog al forte e scoprire dove stanno tenendo i miei amici."
